Fiscal Year,Big Bend,Del Rio,El Centro,El Paso,Laredo,Rio Grande Valley,San Diego,Tucson,Yuma,Southwest Border Total
2016,6366,23078,19448,25634,36562,186830,31891,64891,14170,408870
2015,5031,19013,12820,14495,35888,147257,26290,63397,7142,331333
2014,4096,24255,14511,12339,44049,256393,29911,87915,5902,479371
2013,3684,23510,16306,11154,50749,154453,27496,120939,6106,414397
2012,3964,21720,23916,9678,44872,97762,28461,120000,6500,356873
2011,4036,16144,30191,10345,36053,59243,42447,123285,5833,327577
2010,5288,14694,32562,12251,35287,59766,68565,212202,7116,447731
2009,6360,17082,33521,14999,40569,60989,118721,241673,6951,540865
2008,5391,20761,40961,30312,43658,75473,162390,317696,8363,705005
2007,5536,22920,55883,75464,56714,73430,152460,378239,37992,858638
2006,7520,42636,61465,122256,74840,110528,142104,392074,118549,1071972
2005,10536,68506,55722,122679,75346,134186,126904,439079,138438,1171396
2004,10530,53794,74467,104399,74706,92947,138608,491771,98060,1139282
2003,10319,50145,92099,88816,70521,77749,111515,347263,56638,905065
2002,11392,66985,108273,94154,82095,89927,100681,333648,42654,929809
2001,12087,104875,172852,112857,87068,107844,110075,449675,78385,1235718
2000,13689,157178,238126,115696,108973,133243,151681,616346,108747,1643679
1999,14952,156653,225279,110857,114004,169151,182267,470449,93388,1537000
1998,14509,131058,226695,125035,103433,204257,248092,387406,76195,1516680
1997,12692,113280,146210,124376,141893,243793,283889,272397,30177,1368707
1996,13214,121137,66873,145929,131841,210553,483815,305348,28310,1507020
1995,11552,76490,37317,110971,93305,169101,524231,227529,20894,1271390
1994,13494,50036,27654,79688,73142,124251,450152,139473,21211,979101
1993,15486,42289,30058,285781,82348,109048,531689,92639,23548,1212886
1992,13819,33414,29852,248642,72449,85889,565581,71036,24892,1145574
1991,8764,38554,30450,211775,72293,87319,540347,59728,28646,1077876
1990,7180,41373,28708,223219,89052,97018,473323,53061,36387,1049321
1989,5560,46786,27524,168105,75292,79650,366757,51445,31387,852506
1988,6209,59403,41179,182566,69912,60294,431592,48683,42723,942561
1987,9586,64934,55291,231994,74139,71038,500327,47481,67277,1122067
1986,23796,123952,95186,312892,143685,121783,629656,71675,93219,1615844
1985,23667,99280,71519,240350,114931,82826,427772,55269,67737,1183351
1984,22196,87058,68563,212652,87059,66860,407828,46283,59777,1058276
1983,20829,83733,71897,205944,65279,57706,429121,35870,63595,1033974
1982,20268,48753,55440,152882,40385,32533,314979,32344,48236,745820
1981,17584,50455,59774,146872,36910,32809,326836,33085,45483,749808
1980,15602,50762,57009,127488,39167,35012,285984,33668,45862,690554
1979,20116,50262,55532,149722,50666,41915,337930,37075,52580,795798
1978,23501,54098,42118,174010,36627,45201,325557,34991,53338,789441
1977,22239,42322,38421,145059,27289,38704,337195,33295,48669,733193
1976,19846,32988,32327,114886,24665,38839,266709,34641,42598,607499
1975,20472,32008,27217,99000,26199,31300,185499,39941,50628,512264
1974,23291,44098,26143,112432,30061,38668,196981,50108,49824,571606
1973,22378,42232,23125,82386,23854,37092,128889,44824,36286,441066
1972,20269,31110,15327,78168,21781,29338,73115,32272,19946,321326
1971,22026,25780,14292,57796,17665,28281,59375,23548,15228,263991
1970,16770,18711,12028,43640,11569,20708,50663,14222,13469,201780
1969,11973,12991,9195,31159,8129,14076,33311,8301,8833,137968
1968,8834,9576,8358,19408,5715,10093,24116,4537,6004,96641
1967,7049,7906,6974,13656,4178,9029,17844,3068,4269,73973
1966,6592,6845,6916,10119,3658,8706,13362,2392,4050,62640
1965,3973,4292,5344,6355,2310,8057,6558,1480,1651,40020
1964,3146,4489,2640,4486,2168,9173,4521,1200,696,32519
1963,2026,4417,1690,3813,1753,9992,3768,1466,719,29644
1962,1431,3250,1426,3304,1274,5569,3091,1247,511,21103
1961,954,3458,1878,3540,1172,6713,2279,1178,573,21745
1960,732,3023,1839,3630,1024,5515,3371,1255,633,21022
